shell_mode,scenario,scenario_label,band,points,median_ocean_confidence_score,p10_ocean_confidence_score,p90_ocean_confidence_score,high_confidence_ocean_pct,moderate_or_high_ocean_pct,ambiguous_or_false_pct,not_interpretable_pct,median_attenuation_risk,median_false_layer_risk,median_surface_clutter_risk,median_material_ambiguity_risk,strongest_risk_x_km,strongest_risk_interpretation,main_takeaway
thick_30km_reason_mode,briny_mushy_lens,Briny/mushy lens,HF_9MHz_full_depth,241,0.0,0.0,3.0,0.0,0.0,67.22,32.78,100.0,100.0,0.0,71.0,-37.5,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thick_30km_reason_mode,briny_mushy_lens,Briny/mushy lens,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,68.88,31.12,100.0,100.0,0.0,71.0,-39.5,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thick_30km_reason_mode,briny_mushy_lens,Briny/mushy lens,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,71.0,-60.0,outside this band's ocean-depth window,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
thick_30km_reason_mode,clean_ice_control,Clean ice,HF_9MHz_full_depth,241,85.46,84.58,86.05,100.0,100.0,0.0,0.0,29.43,0.0,0.0,5.0,27.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
thick_30km_reason_mode,clean_ice_control,Clean ice,VHF_60MHz_full_depth_lowDR,241,0.56,0.36,0.69,0.0,0.0,0.0,100.0,87.64,0.0,0.0,5.0,-1.0,too weak for deep-ocean call,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
thick_30km_reason_mode,clean_ice_control,Clean ice,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,5.0,-60.0,outside this band's ocean-depth window,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
thick_30km_reason_mode,complex_paper_calibrated,Complex dirty ice,HF_9MHz_full_depth,241,0.0,0.0,0.0,0.0,0.0,98.76,1.24,100.0,100.0,0.0,100.0,-58.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thick_30km_reason_mode,complex_paper_calibrated,Complex dirty ice,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,98.76,1.24,100.0,100.0,0.0,100.0,-58.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thick_30km_reason_mode,complex_paper_calibrated,Complex dirty ice,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,1.24,100.0,100.0,0.0,100.0,-58.0,shallow/internal feature only,Low-confidence interpretation; useful mainly as an ambiguity stress case.
thick_30km_reason_mode,complex_with_clutter,Complex + clutter,HF_9MHz_full_depth,241,0.0,0.0,0.0,0.0,0.0,98.76,1.24,100.0,100.0,0.0,100.0,-58.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thick_30km_reason_mode,complex_with_clutter,Complex + clutter,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,98.76,1.24,100.0,100.0,47.9,100.0,-52.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thick_30km_reason_mode,complex_with_clutter,Complex + clutter,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,90.0,100.0,-58.0,likely surface-clutter echo,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thick_30km_reason_mode,near_surface_brine,Near-surface brine,HF_9MHz_full_depth,241,49.63,0.0,70.86,1.24,1.24,98.76,0.0,61.99,100.0,0.0,48.0,-4.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thick_30km_reason_mode,near_surface_brine,Near-surface brine,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,98.76,1.24,100.0,100.0,0.0,48.0,-58.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
