assumption_case,assumption_note,shell_mode,scenario,scenario_label,band,median_ocean_confidence_score,p10_ocean_confidence_score,p90_ocean_confidence_score,moderate_or_high_ocean_pct,ambiguous_or_false_pct,not_interpretable_pct,ocean_margin_shift_db,false_margin_shift_db,clutter_margin_shift_db,material_risk_shift
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,briny_mushy_lens,Briny/mushy lens,HF_9MHz_full_depth,0.0,0.0,4.3,0.0,67.22,32.78,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,briny_mushy_lens,Briny/mushy lens,VHF_60MHz_full_depth_lowDR,0.0,0.0,0.0,0.0,68.88,31.12,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,briny_mushy_lens,Briny/mushy lens,VHF_60MHz_shallow,0.0,0.0,0.0,0.0,0.0,100.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,clean_ice_control,Clean ice,HF_9MHz_full_depth,94.89,94.01,95.48,100.0,0.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,clean_ice_control,Clean ice,VHF_60MHz_full_depth_lowDR,3.07,1.49,4.49,0.0,0.0,100.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,clean_ice_control,Clean ice,VHF_60MHz_shallow,0.0,0.0,0.0,0.0,0.0,100.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,complex_paper_calibrated,Complex dirty ice,HF_9MHz_full_depth,0.0,0.0,0.0,0.0,98.76,1.24,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,complex_paper_calibrated,Complex dirty ice,VHF_60MHz_full_depth_lowDR,0.0,0.0,0.0,0.0,98.76,1.24,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,complex_paper_calibrated,Complex dirty ice,VHF_60MHz_shallow,0.0,0.0,0.0,0.0,0.0,1.24,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,complex_with_clutter,Complex + clutter,HF_9MHz_full_depth,0.0,0.0,0.0,0.0,98.76,1.24,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,complex_with_clutter,Complex + clutter,VHF_60MHz_full_depth_lowDR,0.0,0.0,0.0,0.0,98.76,1.24,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,complex_with_clutter,Complex + clutter,VHF_60MHz_shallow,0.0,0.0,0.0,0.0,100.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,near_surface_brine,Near-surface brine,HF_9MHz_full_depth,59.74,7.62,89.37,21.99,78.01,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,near_surface_brine,Near-surface brine,VHF_60MHz_full_depth_lowDR,0.0,0.0,0.0,0.0,98.76,1.24,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,near_surface_brine,Near-surface brine,VHF_60MHz_shallow,0.0,0.0,0.0,0.0,0.0,1.24,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,rough_surface_clutter,Rough surface clutter,HF_9MHz_full_depth,90.11,89.22,90.71,100.0,0.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,rough_surface_clutter,Rough surface clutter,VHF_60MHz_full_depth_lowDR,0.0,0.0,0.0,0.0,0.0,100.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,rough_surface_clutter,Rough surface clutter,VHF_60MHz_shallow,0.0,0.0,0.0,0.0,98.76,1.24,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,salt_layers_reason,Salt layers,HF_9MHz_full_depth,92.17,91.29,92.76,100.0,0.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,salt_layers_reason,Salt layers,VHF_60MHz_full_depth_lowDR,0.0,0.0,0.0,0.0,100.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,salt_layers_reason,Salt layers,VHF_60MHz_shallow,0.0,0.0,0.0,0.0,0.0,100.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,stacked_dirty_layers,Stacked dirty layers,HF_9MHz_full_depth,0.0,0.0,0.0,0.0,90.87,9.13,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,stacked_dirty_layers,Stacked dirty layers,VHF_60MHz_full_depth_lowDR,0.0,0.0,0.0,0.0,0.0,100.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,stacked_dirty_layers,Stacked dirty layers,VHF_60MHz_shallow,0.0,0.0,0.0,0.0,0.0,100.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,warm_impure_ice,Warm impure ice,HF_9MHz_full_depth,5.99,5.99,5.99,0.0,0.0,100.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,warm_impure_ice,Warm impure ice,VHF_60MHz_full_depth_lowDR,0.0,0.0,0.0,0.0,0.0,100.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thick_30km_reason_mode,warm_impure_ice,Warm impure ice,VHF_60MHz_shallow,0.0,0.0,0.0,0.0,0.0,100.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,briny_mushy_lens,Briny/mushy lens,HF_9MHz_full_depth,92.98,0.0,97.76,43.98,56.02,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,briny_mushy_lens,Briny/mushy lens,VHF_60MHz_full_depth_lowDR,64.04,0.0,86.51,31.12,68.88,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,briny_mushy_lens,Briny/mushy lens,VHF_60MHz_shallow,0.0,0.0,84.59,31.12,68.88,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,clean_ice_control,Clean ice,HF_9MHz_full_depth,100.0,100.0,100.0,100.0,0.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,clean_ice_control,Clean ice,VHF_60MHz_full_depth_lowDR,94.05,94.05,94.05,100.0,0.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,clean_ice_control,Clean ice,VHF_60MHz_shallow,100.0,100.0,100.0,100.0,0.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,complex_paper_calibrated,Complex dirty ice,HF_9MHz_full_depth,0.0,0.0,70.16,0.0,100.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,complex_paper_calibrated,Complex dirty ice,VHF_60MHz_full_depth_lowDR,0.0,0.0,54.61,0.0,100.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,complex_paper_calibrated,Complex dirty ice,VHF_60MHz_shallow,0.0,0.0,0.0,0.0,98.76,1.24,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,complex_with_clutter,Complex + clutter,HF_9MHz_full_depth,0.0,0.0,67.55,0.0,100.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,complex_with_clutter,Complex + clutter,VHF_60MHz_full_depth_lowDR,0.0,0.0,47.09,0.0,100.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,complex_with_clutter,Complex + clutter,VHF_60MHz_shallow,0.0,0.0,0.0,0.0,100.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,near_surface_brine,Near-surface brine,HF_9MHz_full_depth,100.0,100.0,100.0,100.0,0.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,near_surface_brine,Near-surface brine,VHF_60MHz_full_depth_lowDR,75.11,75.11,89.11,21.99,78.01,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,near_surface_brine,Near-surface brine,VHF_60MHz_shallow,7.15,1.89,100.0,21.99,78.01,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,rough_surface_clutter,Rough surface clutter,HF_9MHz_full_depth,100.0,100.0,100.0,100.0,0.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,rough_surface_clutter,Rough surface clutter,VHF_60MHz_full_depth_lowDR,88.82,84.92,89.47,100.0,0.0,0.0,3.0,-2.0,-2.0,-10.0
optimistic_processing,"Assumes better processing, lower false-layer gain, and less severe dirty-ice loss.",thin_3km_reason_mode,rough_surface_clutter,Rough surface clutter,VHF_60MHz_shallow,96.9,15.0,100.0,78.42,21.58,0.0,3.0,-2.0,-2.0,-10.0
