page,term,snippet
1,frequency,"eChapin ·DuncanA.Young · G.WesleyPatterson ·JeffreyJ.Plautetal. [fullauthordetailsattheendofthearticle] Received:1August2023/Accepted:29April2024 ©TheAuthor(s)2024 Abstract The Radar for Europa Assessment and Sounding: Ocean to Near-surface (REASON) is a dual-frequency ice-penetrating radar (9 and 60 MHz) onboard the Europa Clipper mission. REASON is designed to probe Europa from exosphere to subsurface ocean, contributing the third dimension to observations of this enigmatic world. The hypotheses REASON will test are that"
1,60 MHz,"son ·JeffreyJ.Plautetal. [fullauthordetailsattheendofthearticle] Received:1August2023/Accepted:29April2024 ©TheAuthor(s)2024 Abstract The Radar for Europa Assessment and Sounding: Ocean to Near-surface (REASON) is a dual-frequency ice-penetrating radar (9 and 60 MHz) onboard the Europa Clipper mission. REASON is designed to probe Europa from exosphere to subsurface ocean, contributing the third dimension to observations of this enigmatic world. The hypotheses REASON will test are that (1) the ice shell of Europa hosts li"
1,sounding,SpaceScienceReviews (2024) 220:51 https://doi.org/10.1007/s11214-024-01072-3 RadarforEuropaAssessmentandSounding:Oceanto Near-Surface(REASON) DonaldD.Blankenship ·AlinaMoussessian ·ElaineChapin ·DuncanA.Young · G.WesleyPatterson ·JeffreyJ.Plautetal. [fullauthordetailsattheendofthearticle] Received:1August2023/Accepted:29April2024 ©TheAuthor(s)2024 Abstract The Radar for
1,sounding,"EASON) DonaldD.Blankenship ·AlinaMoussessian ·ElaineChapin ·DuncanA.Young · G.WesleyPatterson ·JeffreyJ.Plautetal. [fullauthordetailsattheendofthearticle] Received:1August2023/Accepted:29April2024 ©TheAuthor(s)2024 Abstract The Radar for Europa Assessment and Sounding: Ocean to Near-surface (REASON) is a dual-frequency ice-penetrating radar (9 and 60 MHz) onboard the Europa Clipper mission. REASON is designed to probe Europa from exosphere to subsurface ocean, contributing the third dimension to observations of this enigma"
1,sounding,"ce, characterizing the ice shell’s global structure, and constraining the amplitude of Europa’s radial tidal deformations. REASON will accomplish these science objectives using a com- bination of radar measurement techniques including altimetry, reﬂectometry, sounding, in- terferometry, plasma characterization,a n dranging. Building on a rich heritage from Earth, the moon, and Mars, REASON will be the ﬁrst ice-penetrating radar to explore the outer so- lar system. Because these radars are untested for the icy worlds in the"
1,altimetry,"for an ice–ocean interface, characterizing the ice shell’s global structure, and constraining the amplitude of Europa’s radial tidal deformations. REASON will accomplish these science objectives using a com- bination of radar measurement techniques including altimetry, reﬂectometry, sounding, in- terferometry, plasma characterization,a n dranging. Building on a rich heritage from Earth, the moon, and Mars, REASON will be the ﬁrst ice-penetrating radar to explore the outer so- lar system. Because these radars are untested f"
1,ranging,"constraining the amplitude of Europa’s radial tidal deformations. REASON will accomplish these science objectives using a com- bination of radar measurement techniques including altimetry, reﬂectometry, sounding, in- terferometry, plasma characterization,a n dranging. Building on a rich heritage from Earth, the moon, and Mars, REASON will be the ﬁrst ice-penetrating radar to explore the outer so- lar system. Because these radars are untested for the icy worlds in the outer solar system, a novel approach to measurement qua"
1,plasma,"hell’s global structure, and constraining the amplitude of Europa’s radial tidal deformations. REASON will accomplish these science objectives using a com- bination of radar measurement techniques including altimetry, reﬂectometry, sounding, in- terferometry, plasma characterization,a n dranging. Building on a rich heritage from Earth, the moon, and Mars, REASON will be the ﬁrst ice-penetrating radar to explore the outer so- lar system. Because these radars are untested for the icy worlds in the outer solar system, a nov"
1,science objectives,"ion of putative non-ice material (e.g., brines, salts) in the subsurface, searching for an ice–ocean interface, characterizing the ice shell’s global structure, and constraining the amplitude of Europa’s radial tidal deformations. REASON will accomplish these science objectives using a com- bination of radar measurement techniques including altimetry, reﬂectometry, sounding, in- terferometry, plasma characterization,a n dranging. Building on a rich heritage from Earth, the moon, and Mars, REASON will be the ﬁrst ice-penetrating rada"
1,measurement,"lts) in the subsurface, searching for an ice–ocean interface, characterizing the ice shell’s global structure, and constraining the amplitude of Europa’s radial tidal deformations. REASON will accomplish these science objectives using a com- bination of radar measurement techniques including altimetry, reﬂectometry, sounding, in- terferometry, plasma characterization,a n dranging. Building on a rich heritage from Earth, the moon, and Mars, REASON will be the ﬁrst ice-penetrating radar to explore the outer so- lar system. Beca"
